"country","year","mean","sd","q10","q90"
"Bolivia",1997,0.17208206555,0.0510310225392456,0.1111438,0.2393148
"Bolivia",1998,0.1699270919,0.0574728990590083,0.1036412,0.2487974
"Bolivia",1999,0.16502341425,0.0539067327443569,0.1010089,0.2389682
"Bolivia",2000,0.1595831114,0.0458355440384,0.105099,0.2208772
"Bolivia",2001,0.15153448835,0.0252912708776711,0.1205346,0.1839571
"Bolivia",2002,0.11869552005,0.0300553880479434,0.08282084,0.1591282
"Bolivia",2003,0.0889500956,0.0148752999534831,0.07034212,0.1081883
"Bolivia",2004,0.11302847065,0.0281375356769775,0.0795754,0.1506487
"Bolivia",2005,0.137627306,0.01994428820109,0.1119755,0.1636901
"Bolivia",2006,0.2028458565,0.0302404716981923,0.1644505,0.2401429
"Bolivia",2007,0.1791590345,0.0272618127309979,0.1437015,0.2149031
"Bolivia",2008,0.215945345,0.02720523899598,0.1816366,0.2516954
"Bolivia",2009,0.2858809845,0.0324224282883827,0.2447401,0.3268796
"Bolivia",2010,0.263934683,0.0307610025257095,0.2244956,0.3034281
"Bolivia",2011,0.245539449,0.0289860072055165,0.2089745,0.2821759
"Bolivia",2012,0.2202067298,0.0493612001480249,0.1580412,0.2866363
"Bolivia",2013,0.190652729,0.0297441433119907,0.1546318,0.2283576
"Bolivia",2014,0.18054351415,0.0485888051130779,0.1193585,0.2442966
"Bolivia",2015,0.169892635,0.052540896112614,0.105519,0.242884
"Bolivia",2016,0.1573685539,0.0438998252458139,0.1060917,0.2140272
"Bolivia",2017,0.1438332668,0.0229798035135083,0.1152953,0.1732566
"Bosnia & Herzegovina",1998,0.596249135,0.0424992460527514,0.5392128,0.6496772
"Bosnia & Herzegovina",1999,0.508506285,0.074590026207051,0.4118804,0.6022652
"Bosnia & Herzegovina",2000,0.4208095325,0.070499365400157,0.3323306,0.512205
"Bosnia & Herzegovina",2001,0.3341947665,0.037063708859762,0.2875764,0.3829882
"Bosnia & Herzegovina",2002,0.3379987765,0.0751070556512359,0.2446711,0.4387173
"Bosnia & Herzegovina",2003,0.343519564,0.0894059450906464,0.2337896,0.464697
"Bosnia & Herzegovina",2004,0.3491167845,0.100445081079038,0.2272379,0.4800962
"Bosnia & Herzegovina",2005,0.3540326503,0.101933587654302,0.2295246,0.485745
"Bosnia & Herzegovina",2006,0.355750912,0.0993698030581836,0.2293142,0.4893829
"Bosnia & Herzegovina",2007,0.355461453,0.0782924449926572,0.2580641,0.458492
"Bosnia & Herzegovina",2008,0.35298779,0.0416679638803226,0.2998026,0.4064678
"Bosnia & Herzegovina",2009,0.3512346905,0.0800870034415937,0.2483064,0.4593399
"Bosnia & Herzegovina",2010,0.34631089695,0.0997754624993449,0.2243285,0.4840181
"Bosnia & Herzegovina",2011,0.3378187177,0.108841646077774,0.2049506,0.4901556
"Bosnia & Herzegovina",2012,0.3309456473,0.115600573880052,0.1903962,0.495848
"Bosnia & Herzegovina",2013,0.32447856375,0.11761244359852,0.1803604,0.482915
"Bosnia & Herzegovina",2014,0.31606471575,0.114663961184053,0.1759061,0.4664858
"Bosnia & Herzegovina",2015,0.30891546735,0.110541766247213,0.1738395,0.4636244
"Bosnia & Herzegovina",2016,0.30190650525,0.103303899542872,0.1736365,0.4425324
"Bosnia & Herzegovina",2017,0.29381218825,0.090569306922323,0.1850865,0.4139622
"Bosnia & Herzegovina",2018,0.2837448718,0.0726906590081709,0.191376,0.3816518
"Bosnia & Herzegovina",2019,0.2738934695,0.0390373038942335,0.2252333,0.3255199
"Bosnia & Herzegovina",2020,0.24367307085,0.0622339304442004,0.1681793,0.3269964
"Bosnia & Herzegovina",2021,0.2139044976,0.0680328128294879,0.1333729,0.3052569
"Bosnia & Herzegovina",2022,0.19353600375,0.0688283913949203,0.1142745,0.2885217
"Brazil",1991,0.435686631,0.0507882686083406,0.3727469,0.5017252
"Brazil",1992,0.3898443065,0.0781770766220709,0.2898275,0.4968835
"Brazil",1993,0.347686852,0.0804266697611279,0.2472251,0.4566243
"Brazil",1994,0.3062379915,0.0707202240697642,0.2188355,0.3987016
"Brazil",1995,0.265787097,0.0391906722339215,0.2152444,0.3171179
"Brazil",1996,0.254807472,0.0340971448890521,0.2125967,0.3008324
"Brazil",1997,0.450527692,0.0462602730582176,0.3930139,0.5102297
"Brazil",1998,0.415990694,0.0794911740477841,0.3141667,0.5212125
"Brazil",1999,0.3854051905,0.0846555687624947,0.2760784,0.4965844
"Brazil",2000,0.352549874,0.0742549806230517,0.2588453,0.4520494
"Brazil",2001,0.316734122,0.043691191110949,0.2614466,0.3747712
"Brazil",2002,0.302548151,0.0590200235807555,0.2284931,0.3801877
"Brazil",2003,0.282365209,0.0348539471698254,0.2386761,0.3277397
"Brazil",2004,0.3049173655,0.0568948028447087,0.2324429,0.3785478
"Brazil",2005,0.325266269,0.0346831712298331,0.281817,0.3712072
"Brazil",2006,0.3657175455,0.0286038932433728,0.3291834,0.4029645
"Brazil",2007,0.3400231895,0.0444183064163644,0.2852351,0.3990173
"Brazil",2008,0.338579888,0.0367890509278038,0.2924376,0.3867519
"Brazil",2009,0.35291199,0.0382333566378993,0.3060413,0.4020108
"Brazil",2010,0.372788247,0.0388076764828041,0.3239646,0.4234214
"Brazil",2011,0.283601738,0.0366596888714352,0.2378632,0.330271
"Brazil",2012,0.2884232685,0.0556090516005295,0.2179182,0.3610924
"Brazil",2013,0.2909244905,0.0382590083536285,0.241586,0.3407591
"Brazil",2014,0.3911745325,0.0431908686333998,0.336396,0.4474025
"Brazil",2015,0.3980171485,0.0777936759622484,0.3008436,0.5034344
"Brazil",2016,0.407519935,0.0880516977241827,0.296296,0.5203223
"Brazil",2017,0.411440699,0.0810966066157869,0.3069914,0.5138847
"Brazil",2018,0.419018638,0.0499494764533717,0.3542197,0.483748
"Bulgaria",1991,0.299846716,0.0397053172168034,0.2477794,0.3518158
"Bulgaria",1992,0.3290577755,0.07379480109005,0.2378194,0.4278944
"Bulgaria",1993,0.3593165585,0.0935360424762329,0.2404441,0.4887884
"Bulgaria",1994,0.38820342,0.0978165107086692,0.266323,0.5155022
"Bulgaria",1995,0.4171378425,0.0958697291163385,0.2969507,0.547105
"Bulgaria",1996,0.4476400175,0.0795464679793464,0.3440832,0.5526782
"Bulgaria",1997,0.4803314175,0.0327520081407052,0.4381144,0.5220346
"Bulgaria",1998,0.3616208855,0.0612911649931333,0.2854948,0.4393472
"Bulgaria",1999,0.2538066815,0.030085193767584,0.2162161,0.2921908
"Bulgaria",2000,0.2479536555,0.0281838373559186,0.212055,0.2852208
"Bulgaria",2001,0.217713109,0.0437179984717428,0.1632285,0.274756
"Bulgaria",2002,0.1881561582,0.0421101481624703,0.1356497,0.2438711
"Bulgaria",2003,0.1875003807,0.0421653582079142,0.1348919,0.2443692
"Bulgaria",2004,0.2195146553,0.0545301080727465,0.1524249,0.2926426
"Bulgaria",2005,0.254154831,0.0420763393796233,0.2001891,0.3102061
"Bulgaria",2006,0.2851136125,0.0317405860353944,0.2449231,0.3264064
"Bulgaria",2007,0.260403224,0.037185875829304,0.2134098,0.3086493
"Bulgaria",2008,0.2099379465,0.026211332216141,0.177794,0.2429812
"Bulgaria",2009,0.2735244795,0.035817148407119,0.2292861,0.3222236
"Bulgaria",2010,0.287900622,0.0431268470620665,0.2328604,0.3440492
"Bulgaria",2011,0.3211332595,0.0427725581729394,0.2655512,0.3766742
"Bulgaria",2012,0.304484901,0.0451713975970817,0.2463275,0.3644309
"Bulgaria",2013,0.271268136,0.0450514736927933,0.2147667,0.3291174
"Bulgaria",2014,0.2213694055,0.0399575253931201,0.172013,0.2741534
"Bulgaria",2015,0.2796014325,0.0470630583903338,0.2213725,0.340758
"Bulgaria",2016,0.2498967625,0.0429086139152403,0.1976026,0.3071978
"Bulgaria",2017,0.254562196,0.0290425296604845,0.217953,0.2921758
"Bulgaria",2018,0.2949688655,0.0519297801894604,0.2292957,0.3623475
"Bulgaria",2019,0.3369712445,0.0611450223650849,0.2593536,0.4152486
"Bulgaria",2020,0.3416869215,0.0631132797157031,0.2638414,0.4207318
"Bulgaria",2021,0.37454022,0.0654367781139671,0.2916801,0.4579883
"Bulgaria",2022,0.354325266,0.0684995816751029,0.2688069,0.4468343
"Cambodia",2008,0.8778434125,0.021751683894252,0.8489745,0.9051541
"Cambodia",2009,0.8739640615,0.0391301111971569,0.8240027,0.9201191
"Cambodia",2010,0.8724942905,0.042622047508514,0.8138517,0.924244
"Cambodia",2011,0.8726167465,0.0390594288803032,0.8216873,0.9188367
"Cambodia",2012,0.8761247195,0.0197015631761445,0.8509795,0.901177
"Cambodia",2013,0.8549282595,0.040213364845823,0.8012508,0.9022678
"Cambodia",2014,0.8352499725,0.0435365489738222,0.7775676,0.8867243
